,orphan,social_category,minority_group,bpl_beneficiary,ews_group,cwsn,mother's_occupation,father's_occupation,mother's_qualification,father's_qualification,family_annual_income,debt,mental_issues,results_in_previous_year_type,status_in_previous_year,dropout_student,age_group,district,gender,lable (y),prince_o
0,0,3,4,0,0,1,1,0,3,0,1,1,0,3,3,1,4,12,1,7,0.861
1,0,2,1,1,0,0,0,1,5,2,2,0,1,2,1,0,3,18,0,6,0.389
2,0,3,1,0,0,0,0,0,5,5,1,1,1,2,3,0,1,32,0,5,0.551
3,0,1,6,0,0,1,0,0,3,2,2,0,0,1,4,1,5,3,1,4,0.6
4,0,1,2,0,0,1,1,0,3,1,2,0,1,3,3,0,4,13,1,5,0.26
5,0,2,1,0,0,0,1,0,0,4,0,1,1,2,4,0,4,3,1,9,0.877
6,0,1,4,0,0,0,0,0,4,3,2,0,1,1,2,1,5,9,0,3,0.698
7,0,3,7,1,0,0,1,1,2,2,2,1,0,3,3,0,1,1,1,6,0.746
8,1,2,4,0,0,0,0,1,1,4,1,1,1,2,3,1,2,7,1,7,0.226
9,0,1,6,0,0,1,0,0,4,5,2,1,1,3,3,1,5,17,1,6,0.768
10,0,4,2,0,0,0,0,1,2,2,1,0,1,2,4,0,5,15,1,4,0.95
11,0,2,6,0,0,0,1,0,5,2,1,0,1,3,2,1,5,5,0,5,0.918
12,1,3,2,0,0,0,1,1,2,1,1,1,1,1,1,1,5,25,1,7,0.744
13,1,4,1,0,0,0,1,0,0,5,0,1,1,4,4,1,1,14,1,9,0.489
14,1,4,7,0,1,0,1,0,2,3,0,0,1,2,3,0,2,21,0,6,0.359
15,1,1,7,0,1,0,1,0,0,4,2,0,1,3,4,0,1,26,1,8,0.542
16,0,2,7,1,0,1,1,0,2,1,2,1,0,3,4,1,3,31,1,8,0.186
17,0,4,5,1,0,0,1,0,4,2,0,1,0,3,1,1,2,14,0,7,0.932
18,0,4,4,1,0,0,1,0,0,2,0,0,1,1,3,0,2,8,1,5,0.199
19,0,4,3,0,1,0,0,0,5,3,0,1,1,1,2,1,5,25,1,5,0.236
20,0,4,4,0,0,0,1,0,5,0,0,0,1,1,3,1,2,30,0,5,0.3
21,1,3,7,0,0,0,1,0,2,2,2,0,1,2,3,1,1,29,0,6,0.8
22,0,2,1,1,0,1,0,0,1,0,0,1,0,3,3,1,5,17,1,9,0.248
23,0,1,5,0,0,0,1,0,1,2,2,0,0,4,1,0,4,17,0,3,0.313
24,0,2,3,1,0,0,0,0,2,2,2,0,1,2,3,1,2,28,0,5,0.697
25,0,2,2,0,0,1,0,0,1,3,0,0,1,4,2,1,4,20,1,5,0.461
26,1,3,6,1,0,0,0,0,1,4,2,1,1,2,1,1,3,20,1,7,0.9
27,0,2,1,0,0,0,1,0,4,0,2,1,1,4,4,1,5,10,0,8,0.699
28,0,3,1,1,0,1,1,0,0,1,0,1,1,4,4,1,3,17,0,11,0.645
29,0,2,5,0,0,0,1,1,0,1,1,1,1,1,2,1,1,24,1,8,0.31
30,0,2,1,0,0,0,1,0,1,5,0,1,1,3,4,1,4,2,1,9,0.593
31,0,2,4,0,0,0,0,1,1,1,0,1,1,4,2,1,2,22,1,6,0.471
32,1,2,2,0,0,0,1,0,3,0,2,1,1,4,2,1,2,5,0,7,0.505
33,0,2,4,0,0,1,1,0,2,5,1,1,1,2,1,1,1,16,1,7,0.73
34,1,4,5,0,1,0,0,0,4,3,2,0,1,4,4,0,4,14,1,5,0.401
35,0,1,7,1,0,1,1,0,4,4,0,1,1,2,1,1,5,8,1,9,0.285
36,0,3,6,0,0,0,1,0,2,5,0,0,1,4,2,1,3,13,0,5,0.56
37,1,4,6,0,1,0,0,0,4,5,2,0,1,1,2,1,1,13,0,4,0.439
38,0,3,3,0,1,0,1,0,0,5,2,1,1,1,3,0,2,16,1,6,0.534
39,0,2,4,0,1,0,1,0,2,3,2,1,0,2,1,0,1,19,0,5,0.495
40,0,1,7,0,0,0,1,0,4,5,1,1,0,2,4,1,2,5,0,6,0.237
41,0,3,7,0,0,0,0,0,4,1,0,0,1,3,1,1,1,21,0,5,0.734
42,0,1,1,0,0,0,0,0,5,1,2,1,1,4,1,1,1,17,1,5,0.23
43,0,3,6,0,1,0,1,0,2,3,2,0,1,4,1,1,5,18,0,5,0.548
44,0,1,1,0,0,0,1,1,0,0,0,0,1,4,3,1,5,16,0,9,0.47
45,0,1,2,0,0,0,1,0,5,1,2,1,1,3,4,0,2,30,1,6,0.964
46,0,4,1,0,0,0,0,0,4,5,2,0,0,4,1,1,4,26,1,2,0.828
47,0,3,1,0,0,0,1,0,5,3,1,1,1,3,3,1,4,29,0,7,0.705
48,0,2,3,1,0,0,1,0,0,2,0,1,1,1,1,1,2,4,1,8,0.347
49,0,3,2,0,0,0,1,0,0,2,0,1,1,2,2,1,3,18,0,8,0.713
50,1,3,2,0,1,0,0,0,4,3,1,1,1,1,3,1,4,1,1,6,0.228
51,0,2,1,1,0,0,0,1,1,2,0,1,0,3,4,1,5,20,1,9,0.53
52,0,3,5,1,0,0,1,0,5,5,0,0,0,3,1,1,5,8,1,7,0.222
53,0,3,7,0,0,0,1,1,4,4,2,1,1,2,4,1,1,8,1,8,0.671
54,0,1,6,0,0,0,0,0,5,1,0,1,1,1,1,1,2,33,0,5,0.877
55,0,2,5,0,0,0,0,0,1,3,0,0,1,1,1,1,2,25,1,5,0.331
56,0,3,4,0,1,1,1,0,1,0,1,1,1,2,1,1,2,5,1,9,0.754
57,0,4,2,0,0,0,1,0,3,4,2,1,0,2,4,1,5,17,0,5,0.748
58,0,3,1,0,0,1,1,0,0,1,2,1,1,1,4,1,4,14,0,9,0.586
59,1,4,1,0,0,0,0,0,2,5,2,1,1,4,1,1,2,21,1,5,0.52
60,0,2,6,0,0,0,0,0,3,5,2,1,0,1,4,1,3,15,0,4,0.707
61,0,2,3,1,0,1,0,0,1,3,1,0,0,4,2,1,5,3,0,4,0.613
62,0,3,7,0,0,1,1,0,0,2,2,1,1,3,4,1,4,32,1,9,0.543
63,0,1,7,1,0,0,1,0,5,5,2,0,0,2,2,0,1,2,0,4,0.57
64,0,3,1,0,0,0,0,0,0,2,1,1,1,1,2,1,5,4,1,6,0.676
65,0,4,2,0,0,0,1,0,3,1,0,1,1,4,3,1,1,22,0,5,0.301
66,0,3,5,0,0,0,1,0,0,0,2,1,1,2,3,1,1,19,1,9,0.927
67,0,1,7,0,0,0,1,0,0,4,1,0,1,4,2,1,2,3,0,5,0.923
68,0,1,5,1,0,0,1,0,2,0,1,0,1,3,3,1,3,14,1,8,0.177
69,0,3,4,1,0,0,1,0,5,0,0,1,1,1,4,1,4,2,0,9,0.893
70,1,1,7,0,0,1,1,0,4,2,0,0,0,4,1,1,1,18,0,6,0.638
71,1,3,5,1,0,0,1,0,3,0,2,1,1,4,2,1,1,8,0,9,0.897
72,0,3,7,0,0,1,1,0,4,3,0,0,1,4,2,1,1,29,0,6,0.182
73,0,2,2,0,0,0,1,1,0,2,2,1,0,1,1,0,5,33,0,5,0.371
74,1,3,5,0,0,0,0,0,3,4,1,0,1,2,4,1,5,22,1,7,0.553
75,1,3,1,0,0,0,0,0,1,1,0,0,1,2,1,1,4,25,1,7,0.624
76,0,4,6,1,0,0,1,0,5,3,2,1,0,2,2,1,1,23,1,5,0.748
77,0,3,6,0,0,0,1,0,1,0,0,1,1,2,4,0,4,15,0,8,0.382
78,0,2,1,0,0,0,1,0,4,0,1,0,1,3,1,0,2,25,0,6,0.189
79,0,4,5,0,1,1,0,0,4,5,0,0,0,3,4,0,1,14,0,6,0.546
80,1,4,4,0,0,0,0,0,1,5,2,0,1,4,4,0,2,10,0,3,0.676
81,1,3,3,1,0,1,1,0,5,5,1,1,0,2,3,0,3,5,0,7,0.742
82,0,3,6,0,0,0,1,0,4,1,1,1,1,3,4,1,2,17,1,7,0.296
83,0,1,3,0,0,0,0,0,3,4,1,1,1,4,4,1,1,20,1,5,0.12
84,1,4,6,0,1,0,1,0,3,2,0,1,1,2,3,1,5,13,1,8,0.82
85,0,4,3,0,0,0,0,0,2,1,2,1,0,2,4,1,2,27,0,4,0.47
86,0,1,1,1,0,1,0,1,3,3,0,0,1,2,4,1,4,28,1,10,0.355
87,0,4,2,0,0,1,1,0,3,0,1,0,1,3,2,1,2,9,1,6,0.728
88,1,4,1,0,0,0,1,0,2,4,1,1,0,4,4,0,2,29,0,5,0.493
89,0,4,1,0,0,0,1,0,0,4,2,0,1,2,3,1,3,14,0,6,0.65
90,0,3,2,0,0,1,0,0,5,5,0,0,1,1,2,1,5,22,1,5,0.472
91,0,1,5,1,0,0,1,0,5,4,1,0,0,4,1,0,1,10,0,4,0.927
92,0,1,7,0,0,0,1,0,1,0,2,0,1,1,3,0,2,16,0,4,0.463
93,0,2,2,0,1,1,1,0,5,2,0,0,1,2,3,1,3,6,0,8,0.704
94,0,2,2,0,0,1,1,0,0,1,1,0,1,1,1,1,2,10,0,6,0.231
95,0,2,2,0,0,0,1,1,5,3,0,0,1,3,2,1,2,28,1,7,0.163
96,1,4,7,1,0,0,1,0,5,4,2,0,1,3,1,0,1,1,0,5,0.379
97,0,4,3,0,0,0,1,0,0,2,0,0,1,1,3,1,3,12,1,5,0.197
98,0,1,5,0,0,0,1,1,1,2,2,1,1,4,3,1,1,30,1,7,0.497
99,0,2,3,0,0,0,1,0,3,3,2,0,0,3,1,0,5,25,0,3,0.359
100,0,2,4,0,0,0,0,0,3,1,2,0,1,4,2,1,3,31,0,3,0.633
101,1,1,3,1,0,0,1,0,4,0,2,0,1,2,2,1,3,20,1,8,0.596
102,1,1,1,0,0,0,1,1,5,1,1,0,1,2,2,1,2,7,1,8,0.237
103,0,1,5,1,1,0,1,0,2,2,1,1,1,3,2,1,2,32,0,9,0.974
104,0,1,5,0,0,1,1,0,1,1,0,0,1,4,2,1,5,27,1,7,0.385
105,0,2,2,0,0,0,1,0,4,0,0,0,0,4,3,1,3,28,0,5,0.888
106,0,4,2,0,0,0,1,1,0,0,1,1,1,3,4,0,1,19,0,8,0.567
107,0,4,7,0,0,0,1,0,0,3,0,0,1,1,2,1,3,6,1,5,0.55
108,0,2,2,0,1,0,1,1,5,3,0,0,1,2,3,1,3,12,1,8,0.729
109,0,2,5,0,0,0,0,0,3,5,0,0,1,3,1,0,3,18,1,5,0.799
110,0,4,6,1,0,0,1,0,3,0,2,1,1,1,3,1,4,12,1,6,0.933
111,1,1,5,0,0,0,0,0,4,4,2,0,1,4,2,1,3,25,1,5,0.164
112,0,2,4,1,0,0,0,1,4,3,1,1,1,4,4,1,5,16,1,7,0.932
113,0,3,4,1,1,0,1,0,2,3,2,1,1,4,1,1,2,24,1,7,0.882
114,0,2,4,0,1,1,1,0,0,4,2,0,1,2,1,1,1,30,1,8,0.975
115,1,2,6,0,0,0,0,0,3,3,0,0,1,1,1,1,5,26,0,5,0.206
116,1,3,3,0,0,0,0,1,0,4,0,0,1,3,4,1,5,31,0,9,0.11
117,1,1,4,0,0,0,1,0,3,4,1,0,1,2,1,0,5,27,0,5,0.101
118,0,4,1,0,1,0,0,0,1,2,1,0,1,2,4,1,5,17,0,6,0.978
119,0,4,5,0,1,0,0,0,1,1,1,1,1,1,2,1,5,16,0,5,0.26
120,0,4,1,0,0,0,1,0,4,0,0,1,1,2,1,1,1,30,1,8,0.112
121,1,1,5,0,0,0,1,0,1,5,1,1,0,3,4,0,5,5,1,7,0.634
122,0,3,4,0,0,0,1,0,5,5,2,1,1,2,1,0,4,11,0,5,0.556
123,0,3,1,1,0,0,1,0,1,4,0,0,0,2,1,1,4,20,1,7,0.199
124,0,2,7,0,0,0,1,0,5,0,1,1,0,3,1,1,5,29,1,6,0.335
125,1,4,1,0,0,0,1,0,3,3,1,0,1,1,1,1,2,6,0,5,0.947
126,1,3,4,0,0,0,1,0,5,0,1,1,0,1,4,1,4,32,0,7,0.892
127,1,3,3,0,0,0,1,0,1,3,1,0,1,4,1,1,5,25,0,5,0.928
128,1,3,7,0,0,0,1,0,2,5,2,1,1,3,4,1,1,25,1,8,0.129
129,1,1,6,0,0,0,1,0,5,2,2,0,1,4,4,1,1,30,1,6,0.11
130,0,1,7,0,0,0,1,0,1,5,1,0,1,3,4,1,4,16,1,6,0.654
131,0,1,5,0,0,0,1,0,5,5,2,1,0,1,3,1,3,22,1,5,0.151
132,0,1,5,0,0,0,1,0,5,5,0,1,1,1,4,1,1,11,0,8,0.907
133,0,4,6,0,1,0,1,0,5,4,0,0,1,1,3,0,1,24,1,4,0.421
134,0,2,1,0,0,1,1,0,1,2,0,1,1,3,3,1,4,3,1,9,0.212
135,0,1,4,1,0,0,1,0,4,1,0,1,1,2,3,0,4,14,1,7,0.866
136,0,3,1,0,0,1,1,1,5,4,1,0,1,4,3,1,3,10,1,7,0.562
137,0,1,3,0,0,0,1,0,3,2,2,1,1,3,3,0,1,29,0,5,0.312
138,0,3,7,1,0,0,0,0,2,0,1,0,1,1,3,0,5,1,0,4,0.115
139,1,2,3,0,0,0,0,0,3,3,0,0,0,3,4,0,5,25,0,5,0.382
140,0,3,5,0,0,0,1,0,0,2,1,0,1,2,2,1,4,13,1,7,0.801
141,0,2,5,0,0,0,0,0,4,2,1,0,1,1,4,0,4,32,0,4,0.687
142,0,3,7,1,1,1,1,0,0,2,1,1,0,3,4,1,1,12,1,10,0.481
143,0,2,5,0,0,0,1,0,3,4,0,0,1,4,2,1,1,32,1,6,0.124
144,0,2,5,1,0,0,0,0,3,0,1,1,1,3,1,1,1,19,1,8,0.152
145,0,3,3,1,0,0,0,0,3,2,0,0,0,3,3,0,2,17,0,4,0.804
146,0,1,6,0,1,0,1,0,3,1,0,0,1,1,4,1,5,6,1,7,0.39
147,0,4,2,0,0,1,0,0,5,5,2,1,1,2,3,1,3,28,0,5,0.897
148,0,4,6,0,0,0,1,0,0,3,2,0,1,1,2,1,4,15,1,4,0.621
149,0,1,7,0,1,1,0,0,3,5,0,0,1,4,3,1,2,24,0,6,0.331
150,1,1,6,0,0,0,1,0,1,4,1,0,1,2,3,0,2,25,0,5,0.632
151,0,1,1,0,0,0,1,0,3,5,0,1,1,2,1,1,1,4,0,8,0.845
152,0,3,2,0,0,1,1,0,3,3,2,1,1,1,2,1,4,11,1,6,0.86
153,0,1,4,0,0,0,0,0,4,5,0,0,1,4,1,1,3,21,0,4,0.24
154,0,4,3,1,0,0,1,0,3,2,0,0,1,4,3,1,3,33,0,5,0.44
155,0,3,3,1,0,0,0,0,3,0,1,1,1,4,4,1,3,22,1,7,0.951
156,0,2,7,0,1,0,1,0,4,3,0,0,1,1,1,1,4,2,0,6,0.774
157,1,2,4,0,0,0,1,1,0,3,0,1,1,1,3,0,4,20,1,8,0.691
158,0,2,7,1,0,0,1,0,2,3,2,0,1,3,2,1,3,19,0,6,0.24
159,0,4,2,0,0,0,1,0,2,3,2,0,0,4,3,1,2,12,1,2,0.254
160,1,2,2,0,1,0,1,0,5,0,0,1,1,3,1,1,5,5,1,10,0.203
161,0,4,1,0,0,0,1,0,2,2,1,1,1,4,4,1,5,24,0,6,0.59
162,0,2,7,0,0,0,0,0,5,3,1,1,1,3,4,1,1,29,1,6,0.283
163,0,4,7,0,1,0,1,0,2,5,1,0,0,1,3,1,2,9,0,3,0.871
164,0,3,2,1,0,1,1,1,3,3,0,1,1,1,2,1,4,12,0,9,0.862
165,0,2,2,0,0,1,1,0,5,4,0,1,1,2,2,0,3,11,0,7,0.45
166,0,1,2,0,0,0,0,0,5,3,2,1,1,1,1,1,4,8,1,4,0.317
167,0,4,6,1,0,0,0,1,4,3,0,1,1,4,3,0,2,26,1,5,0.177
168,1,3,4,0,0,0,1,0,2,5,2,0,1,4,3,1,1,10,1,5,0.69
169,1,1,7,0,0,0,1,0,2,2,1,1,0,1,3,1,1,7,1,5,0.53
170,0,2,2,1,0,0,1,0,4,3,2,1,1,3,1,0,4,19,0,6,0.368
171,0,1,6,0,0,0,1,0,3,2,2,1,0,4,4,1,4,20,1,5,0.96
172,0,1,2,0,1,0,1,1,4,4,2,0,1,2,1,1,5,9,1,7,0.148
173,0,2,1,0,1,0,1,0,5,4,1,0,1,4,3,0,5,4,1,5,0.313
174,1,4,6,1,0,0,1,0,5,4,0,1,1,4,3,1,4,16,0,7,0.583
175,0,2,5,0,0,0,1,0,4,0,1,0,1,1,4,1,5,20,0,7,0.726
176,0,3,5,0,0,0,0,0,2,3,1,1,1,1,3,1,2,26,0,5,0.967
177,0,4,5,0,0,0,1,1,0,2,2,1,1,3,1,1,2,20,1,8,0.629
178,0,3,4,0,0,0,1,0,4,0,2,1,1,4,3,1,4,23,1,6,0.385
179,0,4,6,0,0,0,1,1,3,0,1,0,1,2,3,0,3,10,0,5,0.956
180,0,4,7,0,0,0,1,0,0,5,2,0,1,4,4,1,2,28,0,5,0.699
