orphan,social_category,minority_group,bpl_beneficiary,ews_group,cwsn,mother's_occupation,father's_occupation,mother's_qualification,father's_qualification,family_annual_income,debt,mental_issues,results_in_previous_year_type,status_in_previous_year,dropout_student,age_group,district,gender,lable (y),prince_o,gender_data,district_data,age,social_catagory
0,3,4,0,0,1,1,0,3,0,1,1,0,3,3,1,4,12,1,7,0.4375,male,Kutch,11-14 year,general
0,2,1,1,0,0,0,1,5,2,2,0,1,2,1,0,3,18,0,6,0.375,female,Gandhinagar,8-11 year,st
0,3,1,0,0,0,0,0,5,5,1,1,1,2,3,0,1,32,0,5,0.3125,female,Chhota_Udepur,3-6 year,general
0,1,6,0,0,1,0,0,3,2,2,0,0,1,4,1,5,3,1,4,0.25,male,Rajkot,14-18 year,sc
0,1,2,0,0,1,1,0,3,1,2,0,1,3,3,0,4,13,1,5,0.3125,male,Surendranagar,11-14 year,sc
0,2,1,0,0,0,1,0,0,4,0,1,1,2,4,0,4,3,1,9,0.5625,male,Rajkot,11-14 year,st
0,1,4,0,0,0,0,0,4,3,2,0,1,1,2,1,5,9,0,3,0.1875,female,Sabarkantha,14-18 year,sc
0,3,7,1,0,0,1,1,2,2,2,1,0,3,3,0,1,1,1,6,0.375,male,Ahmedabad,3-6 year,general
1,2,4,0,0,0,0,1,1,4,1,1,1,2,3,1,2,7,1,7,0.4375,male,Kheda,6-8 year,st
0,1,6,0,0,1,0,0,4,5,2,1,1,3,3,1,5,17,1,6,0.375,male,Panchmahal,14-18 year,sc
0,4,2,0,0,0,0,1,2,2,1,0,1,2,4,0,5,15,1,4,0.25,male,Valsad,14-18 year,ews
0,2,6,0,0,0,1,0,5,2,1,0,1,3,2,1,5,5,0,5,0.3125,female,Surat,14-18 year,st
1,3,2,0,0,0,1,1,2,1,1,1,1,1,1,1,5,25,1,7,0.4375,male,Porbander,14-18 year,general
1,4,1,0,0,0,1,0,0,5,0,1,1,4,4,1,1,14,1,9,0.5625,male,Amreli,3-6 year,ews
1,4,7,0,1,0,1,0,2,3,0,0,1,2,3,0,2,21,0,6,0.375,female,Navsari,6-8 year,ews
1,1,7,0,1,0,1,0,0,4,2,0,1,3,4,0,1,26,1,8,0.5,male,Vyara,3-6 year,sc
0,2,7,1,0,1,1,0,2,1,2,1,0,3,4,1,3,31,1,8,0.5,male,Botad,8-11 year,st
0,4,5,1,0,0,1,0,4,2,0,1,0,3,1,1,2,14,0,7,0.4375,female,Amreli,6-8 year,ews
0,4,4,1,0,0,1,0,0,2,0,0,1,1,3,0,2,8,1,5,0.3125,male,Banaskantha,6-8 year,ews
0,4,3,0,1,0,0,0,5,3,0,1,1,1,2,1,5,25,1,5,0.3125,male,Porbander,14-18 year,ews
0,4,4,0,0,0,1,0,5,0,0,0,1,1,3,1,2,30,0,5,0.3125,female,Veraval,6-8 year,ews
1,3,7,0,0,0,1,0,2,2,2,0,1,2,3,1,1,29,0,6,0.375,female,Modasa,3-6 year,general
0,2,1,1,0,1,0,0,1,0,0,1,0,3,3,1,5,17,1,9,0.5625,male,Panchmahal,14-18 year,st
0,1,5,0,0,0,1,0,1,2,2,0,0,4,1,0,4,17,0,3,0.1875,female,Panchmahal,11-14 year,sc
0,2,3,1,0,0,0,0,2,2,2,0,1,2,3,1,2,28,0,5,0.3125,female,Aahwa,6-8 year,st
0,2,2,0,0,1,0,0,1,3,0,0,1,4,2,1,4,20,1,5,0.3125,male,Dahod,11-14 year,st
1,3,6,1,0,0,0,0,1,4,2,1,1,2,1,1,3,20,1,7,0.4375,male,Dahod,8-11 year,general
0,2,1,0,0,0,1,0,4,0,2,1,1,4,4,1,5,10,0,8,0.5,female,Jamnagar,14-18 year,st
0,3,1,1,0,1,1,0,0,1,0,1,1,4,4,1,3,17,0,11,0.6875,female,Panchmahal,8-11 year,general
0,2,5,0,0,0,1,1,0,1,1,1,1,1,2,1,1,24,1,8,0.5,male,Patan,3-6 year,st
0,2,1,0,0,0,1,0,1,5,0,1,1,3,4,1,4,2,1,9,0.5625,male,Mehsana,11-14 year,st
0,2,4,0,0,0,0,1,1,1,0,1,1,4,2,1,2,22,1,6,0.375,male,Narmada,6-8 year,st
1,2,2,0,0,0,1,0,3,0,2,1,1,4,2,1,2,5,0,7,0.4375,female,Surat,6-8 year,st
0,2,4,0,0,1,1,0,2,5,1,1,1,2,1,1,1,16,1,7,0.4375,male,Bharuch,3-6 year,st
1,4,5,0,1,0,0,0,4,3,2,0,1,4,4,0,4,14,1,5,0.3125,male,Amreli,11-14 year,ews
0,1,7,1,0,1,1,0,4,4,0,1,1,2,1,1,5,8,1,9,0.5625,male,Banaskantha,14-18 year,sc
0,3,6,0,0,0,1,0,2,5,0,0,1,4,2,1,3,13,0,5,0.3125,female,Surendranagar,8-11 year,general
1,4,6,0,1,0,0,0,4,5,2,0,1,1,2,1,1,13,0,4,0.25,female,Surendranagar,3-6 year,ews
0,3,3,0,1,0,1,0,0,5,2,1,1,1,3,0,2,16,1,6,0.375,male,Bharuch,6-8 year,general
0,2,4,0,1,0,1,0,2,3,2,1,0,2,1,0,1,19,0,5,0.3125,female,Bardoli,3-6 year,st
0,1,7,0,0,0,1,0,4,5,1,1,0,2,4,1,2,5,0,6,0.375,female,Surat,6-8 year,sc
0,3,7,0,0,0,0,0,4,1,0,0,1,3,1,1,1,21,0,5,0.3125,female,Navsari,3-6 year,general
0,1,1,0,0,0,0,0,5,1,2,1,1,4,1,1,1,17,1,5,0.3125,male,Panchmahal,3-6 year,sc
0,3,6,0,1,0,1,0,2,3,2,0,1,4,1,1,5,18,0,5,0.3125,female,Gandhinagar,14-18 year,general
0,1,1,0,0,0,1,1,0,0,0,0,1,4,3,1,5,16,0,9,0.5625,female,Bharuch,14-18 year,sc
0,1,2,0,0,0,1,0,5,1,2,1,1,3,4,0,2,30,1,6,0.375,male,Veraval,6-8 year,sc
0,4,1,0,0,0,0,0,4,5,2,0,0,4,1,1,4,26,1,2,0.125,male,Vyara,11-14 year,ews
0,3,1,0,0,0,1,0,5,3,1,1,1,3,3,1,4,29,0,7,0.4375,female,Modasa,11-14 year,general
