,Unnamed: 0,orphan,social_category,minority_group,bpl_beneficiary,ews_group,cwsn,mother's_occupation,father's_occupation,mother's_qualification,father's_qualification,family_annual_income,debt,mental_issues,results_in_previous_year_type,status_in_previous_year,dropout_student,age_group,district,gender,lable (y),prince_o,gender_data,district_data,age,social_catagory,school_wise_data
0,0,0,3,4,0,0,1,1,0,3,0,1,1,0,3,3,1,4,12,1,7,0.861,male,,,,
1,1,0,2,1,1,0,0,0,1,5,2,2,0,1,2,1,0,3,18,0,6,0.389,female,,,,
2,2,0,3,1,0,0,0,0,0,5,5,1,1,1,2,3,0,1,32,0,5,0.551,female,,,,
3,3,0,1,6,0,0,1,0,0,3,2,2,0,0,1,4,1,5,3,1,4,0.6,male,,,,
4,4,0,1,2,0,0,1,1,0,3,1,2,0,1,3,3,0,4,13,1,5,0.26,male,,,,
5,5,0,2,1,0,0,0,1,0,0,4,0,1,1,2,4,0,4,3,1,9,0.877,male,,,,
6,6,0,1,4,0,0,0,0,0,4,3,2,0,1,1,2,1,5,9,0,3,0.698,female,,,,
7,7,0,3,7,1,0,0,1,1,2,2,2,1,0,3,3,0,1,1,1,6,0.746,male,,,,
8,8,1,2,4,0,0,0,0,1,1,4,1,1,1,2,3,1,2,7,1,7,0.226,male,,,,
9,9,0,1,6,0,0,1,0,0,4,5,2,1,1,3,3,1,5,17,1,6,0.768,male,,,,
10,10,0,4,2,0,0,0,0,1,2,2,1,0,1,2,4,0,5,15,1,4,0.95,male,,,,
11,11,0,2,6,0,0,0,1,0,5,2,1,0,1,3,2,1,5,5,0,5,0.918,female,,,,
12,12,1,3,2,0,0,0,1,1,2,1,1,1,1,1,1,1,5,25,1,7,0.744,male,,,,
13,13,1,4,1,0,0,0,1,0,0,5,0,1,1,4,4,1,1,14,1,9,0.489,male,,,,
14,14,1,4,7,0,1,0,1,0,2,3,0,0,1,2,3,0,2,21,0,6,0.359,female,,,,
15,15,1,1,7,0,1,0,1,0,0,4,2,0,1,3,4,0,1,26,1,8,0.542,male,,,,
16,16,0,2,7,1,0,1,1,0,2,1,2,1,0,3,4,1,3,31,1,8,0.186,male,,,,
17,17,0,4,5,1,0,0,1,0,4,2,0,1,0,3,1,1,2,14,0,7,0.932,female,,,,
18,18,0,4,4,1,0,0,1,0,0,2,0,0,1,1,3,0,2,8,1,5,0.199,male,,,,
19,19,0,4,3,0,1,0,0,0,5,3,0,1,1,1,2,1,5,25,1,5,0.236,male,,,,
20,20,0,4,4,0,0,0,1,0,5,0,0,0,1,1,3,1,2,30,0,5,0.3,female,,,,
21,21,1,3,7,0,0,0,1,0,2,2,2,0,1,2,3,1,1,29,0,6,0.8,female,,,,
22,22,0,2,1,1,0,1,0,0,1,0,0,1,0,3,3,1,5,17,1,9,0.248,male,,,,
23,23,0,1,5,0,0,0,1,0,1,2,2,0,0,4,1,0,4,17,0,3,0.313,female,,,,
24,24,0,2,3,1,0,0,0,0,2,2,2,0,1,2,3,1,2,28,0,5,0.697,female,,,,
25,25,0,2,2,0,0,1,0,0,1,3,0,0,1,4,2,1,4,20,1,5,0.461,male,,,,
