,orphan,social_category,minority_group,bpl_beneficiary,ews_group,cwsn,mother's_occupation,father's_occupation,mother's_qualification,father's_qualification,family_annual_income,debt,mental_issues,results_in_previous_year_type,status_in_previous_year,dropout_student,age_group,district,gender,lable (y),prince_o,gender_data,district_data,age,social_catagory,school_wise_data
0,0,3,4,0,0,1,1,0,3,0,1,1,0,3,3,1,4,12,1,7,0.861,male,,11-14 year,,
1,0,2,1,1,0,0,0,1,5,2,2,0,1,2,1,0,3,18,0,6,0.389,female,,8-11 year,,
2,0,3,1,0,0,0,0,0,5,5,1,1,1,2,3,0,1,32,0,5,0.551,female,,3-6 year,,
3,0,1,6,0,0,1,0,0,3,2,2,0,0,1,4,1,5,3,1,4,0.6,male,,14-18 year,,
4,0,1,2,0,0,1,1,0,3,1,2,0,1,3,3,0,4,13,1,5,0.26,male,,11-14 year,,
5,0,2,1,0,0,0,1,0,0,4,0,1,1,2,4,0,4,3,1,9,0.877,male,,11-14 year,,
6,0,1,4,0,0,0,0,0,4,3,2,0,1,1,2,1,5,9,0,3,0.698,female,,14-18 year,,
7,0,3,7,1,0,0,1,1,2,2,2,1,0,3,3,0,1,1,1,6,0.746,male,,3-6 year,,
8,1,2,4,0,0,0,0,1,1,4,1,1,1,2,3,1,2,7,1,7,0.226,male,,6-8 year,,
9,0,1,6,0,0,1,0,0,4,5,2,1,1,3,3,1,5,17,1,6,0.768,male,,14-18 year,,
10,0,4,2,0,0,0,0,1,2,2,1,0,1,2,4,0,5,15,1,4,0.95,male,,14-18 year,,
11,0,2,6,0,0,0,1,0,5,2,1,0,1,3,2,1,5,5,0,5,0.918,female,,14-18 year,,
12,1,3,2,0,0,0,1,1,2,1,1,1,1,1,1,1,5,25,1,7,0.744,male,,14-18 year,,
13,1,4,1,0,0,0,1,0,0,5,0,1,1,4,4,1,1,14,1,9,0.489,male,,3-6 year,,
14,1,4,7,0,1,0,1,0,2,3,0,0,1,2,3,0,2,21,0,6,0.359,female,,6-8 year,,
15,1,1,7,0,1,0,1,0,0,4,2,0,1,3,4,0,1,26,1,8,0.542,male,,3-6 year,,
16,0,2,7,1,0,1,1,0,2,1,2,1,0,3,4,1,3,31,1,8,0.186,male,,8-11 year,,
17,0,4,5,1,0,0,1,0,4,2,0,1,0,3,1,1,2,14,0,7,0.932,female,,6-8 year,,
18,0,4,4,1,0,0,1,0,0,2,0,0,1,1,3,0,2,8,1,5,0.199,male,,6-8 year,,
19,0,4,3,0,1,0,0,0,5,3,0,1,1,1,2,1,5,25,1,5,0.236,male,,14-18 year,,
20,0,4,4,0,0,0,1,0,5,0,0,0,1,1,3,1,2,30,0,5,0.3,female,,6-8 year,,
21,1,3,7,0,0,0,1,0,2,2,2,0,1,2,3,1,1,29,0,6,0.8,female,,3-6 year,,
22,0,2,1,1,0,1,0,0,1,0,0,1,0,3,3,1,5,17,1,9,0.248,male,,14-18 year,,
23,0,1,5,0,0,0,1,0,1,2,2,0,0,4,1,0,4,17,0,3,0.313,female,,11-14 year,,
24,0,2,3,1,0,0,0,0,2,2,2,0,1,2,3,1,2,28,0,5,0.697,female,,6-8 year,,
25,0,2,2,0,0,1,0,0,1,3,0,0,1,4,2,1,4,20,1,5,0.461,male,,11-14 year,,
26,1,3,6,1,0,0,0,0,1,4,2,1,1,2,1,1,3,20,1,7,0.9,male,,8-11 year,,
27,0,2,1,0,0,0,1,0,4,0,2,1,1,4,4,1,5,10,0,8,0.699,female,,14-18 year,,
28,0,3,1,1,0,1,1,0,0,1,0,1,1,4,4,1,3,17,0,11,0.645,female,,8-11 year,,
29,0,2,5,0,0,0,1,1,0,1,1,1,1,1,2,1,1,24,1,8,0.31,male,,3-6 year,,
30,0,2,1,0,0,0,1,0,1,5,0,1,1,3,4,1,4,2,1,9,0.593,male,,11-14 year,,
31,0,2,4,0,0,0,0,1,1,1,0,1,1,4,2,1,2,22,1,6,0.471,male,,6-8 year,,
32,1,2,2,0,0,0,1,0,3,0,2,1,1,4,2,1,2,5,0,7,0.505,female,,6-8 year,,
33,0,2,4,0,0,1,1,0,2,5,1,1,1,2,1,1,1,16,1,7,0.73,male,,3-6 year,,
34,1,4,5,0,1,0,0,0,4,3,2,0,1,4,4,0,4,14,1,5,0.401,male,,11-14 year,,
35,0,1,7,1,0,1,1,0,4,4,0,1,1,2,1,1,5,8,1,9,0.285,male,,14-18 year,,
36,0,3,6,0,0,0,1,0,2,5,0,0,1,4,2,1,3,13,0,5,0.56,female,,8-11 year,,
37,1,4,6,0,1,0,0,0,4,5,2,0,1,1,2,1,1,13,0,4,0.439,female,,3-6 year,,
38,0,3,3,0,1,0,1,0,0,5,2,1,1,1,3,0,2,16,1,6,0.534,male,,6-8 year,,
39,0,2,4,0,1,0,1,0,2,3,2,1,0,2,1,0,1,19,0,5,0.495,female,,3-6 year,,
40,0,1,7,0,0,0,1,0,4,5,1,1,0,2,4,1,2,5,0,6,0.237,female,,6-8 year,,
41,0,3,7,0,0,0,0,0,4,1,0,0,1,3,1,1,1,21,0,5,0.734,female,,3-6 year,,
42,0,1,1,0,0,0,0,0,5,1,2,1,1,4,1,1,1,17,1,5,0.23,male,,3-6 year,,
43,0,3,6,0,1,0,1,0,2,3,2,0,1,4,1,1,5,18,0,5,0.548,female,,14-18 year,,
44,0,1,1,0,0,0,1,1,0,0,0,0,1,4,3,1,5,16,0,9,0.47,female,,14-18 year,,
45,0,1,2,0,0,0,1,0,5,1,2,1,1,3,4,0,2,30,1,6,0.964,male,,6-8 year,,
46,0,4,1,0,0,0,0,0,4,5,2,0,0,4,1,1,4,26,1,2,0.828,male,,11-14 year,,
47,0,3,1,0,0,0,1,0,5,3,1,1,1,3,3,1,4,29,0,7,0.705,female,,11-14 year,,
48,0,2,3,1,0,0,1,0,0,2,0,1,1,1,1,1,2,4,1,8,0.347,male,,6-8 year,,
49,0,3,2,0,0,0,1,0,0,2,0,1,1,2,2,1,3,18,0,8,0.713,female,,8-11 year,,
50,1,3,2,0,1,0,0,0,4,3,1,1,1,1,3,1,4,1,1,6,0.228,male,,11-14 year,,
51,0,2,1,1,0,0,0,1,1,2,0,1,0,3,4,1,5,20,1,9,0.53,male,,14-18 year,,
52,0,3,5,1,0,0,1,0,5,5,0,0,0,3,1,1,5,8,1,7,0.222,male,,14-18 year,,
53,0,3,7,0,0,0,1,1,4,4,2,1,1,2,4,1,1,8,1,8,0.671,male,,3-6 year,,
54,0,1,6,0,0,0,0,0,5,1,0,1,1,1,1,1,2,33,0,5,0.877,female,,6-8 year,,
55,0,2,5,0,0,0,0,0,1,3,0,0,1,1,1,1,2,25,1,5,0.331,male,,6-8 year,,
56,0,3,4,0,1,1,1,0,1,0,1,1,1,2,1,1,2,5,1,9,0.754,male,,6-8 year,,
57,0,4,2,0,0,0,1,0,3,4,2,1,0,2,4,1,5,17,0,5,0.748,female,,14-18 year,,
58,0,3,1,0,0,1,1,0,0,1,2,1,1,1,4,1,4,14,0,9,0.586,female,,11-14 year,,
59,1,4,1,0,0,0,0,0,2,5,2,1,1,4,1,1,2,21,1,5,0.52,male,,6-8 year,,
60,0,2,6,0,0,0,0,0,3,5,2,1,0,1,4,1,3,15,0,4,0.707,female,,8-11 year,,
61,0,2,3,1,0,1,0,0,1,3,1,0,0,4,2,1,5,3,0,4,0.613,female,,14-18 year,,
62,0,3,7,0,0,1,1,0,0,2,2,1,1,3,4,1,4,32,1,9,0.543,male,,11-14 year,,
63,0,1,7,1,0,0,1,0,5,5,2,0,0,2,2,0,1,2,0,4,0.57,female,,3-6 year,,
64,0,3,1,0,0,0,0,0,0,2,1,1,1,1,2,1,5,4,1,6,0.676,male,,14-18 year,,
65,0,4,2,0,0,0,1,0,3,1,0,1,1,4,3,1,1,22,0,5,0.301,female,,3-6 year,,
66,0,3,5,0,0,0,1,0,0,0,2,1,1,2,3,1,1,19,1,9,0.927,male,,3-6 year,,
67,0,1,7,0,0,0,1,0,0,4,1,0,1,4,2,1,2,3,0,5,0.923,female,,6-8 year,,
68,0,1,5,1,0,0,1,0,2,0,1,0,1,3,3,1,3,14,1,8,0.177,male,,8-11 year,,
69,0,3,4,1,0,0,1,0,5,0,0,1,1,1,4,1,4,2,0,9,0.893,female,,11-14 year,,
70,1,1,7,0,0,1,1,0,4,2,0,0,0,4,1,1,1,18,0,6,0.638,female,,3-6 year,,
71,1,3,5,1,0,0,1,0,3,0,2,1,1,4,2,1,1,8,0,9,0.897,female,,3-6 year,,
72,0,3,7,0,0,1,1,0,4,3,0,0,1,4,2,1,1,29,0,6,0.182,female,,3-6 year,,
73,0,2,2,0,0,0,1,1,0,2,2,1,0,1,1,0,5,33,0,5,0.371,female,,14-18 year,,
74,1,3,5,0,0,0,0,0,3,4,1,0,1,2,4,1,5,22,1,7,0.553,male,,14-18 year,,
75,1,3,1,0,0,0,0,0,1,1,0,0,1,2,1,1,4,25,1,7,0.624,male,,11-14 year,,
76,0,4,6,1,0,0,1,0,5,3,2,1,0,2,2,1,1,23,1,5,0.748,male,,3-6 year,,
77,0,3,6,0,0,0,1,0,1,0,0,1,1,2,4,0,4,15,0,8,0.382,female,,11-14 year,,
78,0,2,1,0,0,0,1,0,4,0,1,0,1,3,1,0,2,25,0,6,0.189,female,,6-8 year,,
79,0,4,5,0,1,1,0,0,4,5,0,0,0,3,4,0,1,14,0,6,0.546,female,,3-6 year,,
80,1,4,4,0,0,0,0,0,1,5,2,0,1,4,4,0,2,10,0,3,0.676,female,,6-8 year,,
81,1,3,3,1,0,1,1,0,5,5,1,1,0,2,3,0,3,5,0,7,0.742,female,,8-11 year,,
82,0,3,6,0,0,0,1,0,4,1,1,1,1,3,4,1,2,17,1,7,0.296,male,,6-8 year,,
83,0,1,3,0,0,0,0,0,3,4,1,1,1,4,4,1,1,20,1,5,0.12,male,,3-6 year,,
84,1,4,6,0,1,0,1,0,3,2,0,1,1,2,3,1,5,13,1,8,0.82,male,,14-18 year,,
85,0,4,3,0,0,0,0,0,2,1,2,1,0,2,4,1,2,27,0,4,0.47,female,,6-8 year,,
86,0,1,1,1,0,1,0,1,3,3,0,0,1,2,4,1,4,28,1,10,0.355,male,,11-14 year,,
87,0,4,2,0,0,1,1,0,3,0,1,0,1,3,2,1,2,9,1,6,0.728,male,,6-8 year,,
88,1,4,1,0,0,0,1,0,2,4,1,1,0,4,4,0,2,29,0,5,0.493,female,,6-8 year,,
89,0,4,1,0,0,0,1,0,0,4,2,0,1,2,3,1,3,14,0,6,0.65,female,,8-11 year,,
90,0,3,2,0,0,1,0,0,5,5,0,0,1,1,2,1,5,22,1,5,0.472,male,,14-18 year,,
91,0,1,5,1,0,0,1,0,5,4,1,0,0,4,1,0,1,10,0,4,0.927,female,,3-6 year,,
92,0,1,7,0,0,0,1,0,1,0,2,0,1,1,3,0,2,16,0,4,0.463,female,,6-8 year,,
93,0,2,2,0,1,1,1,0,5,2,0,0,1,2,3,1,3,6,0,8,0.704,female,,8-11 year,,
94,0,2,2,0,0,1,1,0,0,1,1,0,1,1,1,1,2,10,0,6,0.231,female,,6-8 year,,
95,0,2,2,0,0,0,1,1,5,3,0,0,1,3,2,1,2,28,1,7,0.163,male,,6-8 year,,
96,1,4,7,1,0,0,1,0,5,4,2,0,1,3,1,0,1,1,0,5,0.379,female,,3-6 year,,
97,0,4,3,0,0,0,1,0,0,2,0,0,1,1,3,1,3,12,1,5,0.197,male,,8-11 year,,
98,0,1,5,0,0,0,1,1,1,2,2,1,1,4,3,1,1,30,1,7,0.497,male,,3-6 year,,
99,0,2,3,0,0,0,1,0,3,3,2,0,0,3,1,0,5,25,0,3,0.359,female,,14-18 year,,
100,0,2,4,0,0,0,0,0,3,1,2,0,1,4,2,1,3,31,0,3,0.633,female,,8-11 year,,
101,1,1,3,1,0,0,1,0,4,0,2,0,1,2,2,1,3,20,1,8,0.596,male,,8-11 year,,
102,1,1,1,0,0,0,1,1,5,1,1,0,1,2,2,1,2,7,1,8,0.237,male,,6-8 year,,
103,0,1,5,1,1,0,1,0,2,2,1,1,1,3,2,1,2,32,0,9,0.974,female,,6-8 year,,
104,0,1,5,0,0,1,1,0,1,1,0,0,1,4,2,1,5,27,1,7,0.385,male,,14-18 year,,
105,0,2,2,0,0,0,1,0,4,0,0,0,0,4,3,1,3,28,0,5,0.888,female,,8-11 year,,
106,0,4,2,0,0,0,1,1,0,0,1,1,1,3,4,0,1,19,0,8,0.567,female,,3-6 year,,
107,0,4,7,0,0,0,1,0,0,3,0,0,1,1,2,1,3,6,1,5,0.55,male,,8-11 year,,
108,0,2,2,0,1,0,1,1,5,3,0,0,1,2,3,1,3,12,1,8,0.729,male,,8-11 year,,
109,0,2,5,0,0,0,0,0,3,5,0,0,1,3,1,0,3,18,1,5,0.799,male,,8-11 year,,
110,0,4,6,1,0,0,1,0,3,0,2,1,1,1,3,1,4,12,1,6,0.933,male,,11-14 year,,
111,1,1,5,0,0,0,0,0,4,4,2,0,1,4,2,1,3,25,1,5,0.164,male,,8-11 year,,
112,0,2,4,1,0,0,0,1,4,3,1,1,1,4,4,1,5,16,1,7,0.932,male,,14-18 year,,
113,0,3,4,1,1,0,1,0,2,3,2,1,1,4,1,1,2,24,1,7,0.882,male,,6-8 year,,
114,0,2,4,0,1,1,1,0,0,4,2,0,1,2,1,1,1,30,1,8,0.975,male,,3-6 year,,
115,1,2,6,0,0,0,0,0,3,3,0,0,1,1,1,1,5,26,0,5,0.206,female,,14-18 year,,
116,1,3,3,0,0,0,0,1,0,4,0,0,1,3,4,1,5,31,0,9,0.11,female,,14-18 year,,
117,1,1,4,0,0,0,1,0,3,4,1,0,1,2,1,0,5,27,0,5,0.101,female,,14-18 year,,
118,0,4,1,0,1,0,0,0,1,2,1,0,1,2,4,1,5,17,0,6,0.978,female,,14-18 year,,
119,0,4,5,0,1,0,0,0,1,1,1,1,1,1,2,1,5,16,0,5,0.26,female,,14-18 year,,
120,0,4,1,0,0,0,1,0,4,0,0,1,1,2,1,1,1,30,1,8,0.112,male,,3-6 year,,
121,1,1,5,0,0,0,1,0,1,5,1,1,0,3,4,0,5,5,1,7,0.634,male,,14-18 year,,
122,0,3,4,0,0,0,1,0,5,5,2,1,1,2,1,0,4,11,0,5,0.556,female,,11-14 year,,
123,0,3,1,1,0,0,1,0,1,4,0,0,0,2,1,1,4,20,1,7,0.199,male,,11-14 year,,
124,0,2,7,0,0,0,1,0,5,0,1,1,0,3,1,1,5,29,1,6,0.335,male,,14-18 year,,
125,1,4,1,0,0,0,1,0,3,3,1,0,1,1,1,1,2,6,0,5,0.947,female,,6-8 year,,
126,1,3,4,0,0,0,1,0,5,0,1,1,0,1,4,1,4,32,0,7,0.892,female,,11-14 year,,
127,1,3,3,0,0,0,1,0,1,3,1,0,1,4,1,1,5,25,0,5,0.928,female,,14-18 year,,
128,1,3,7,0,0,0,1,0,2,5,2,1,1,3,4,1,1,25,1,8,0.129,male,,3-6 year,,
129,1,1,6,0,0,0,1,0,5,2,2,0,1,4,4,1,1,30,1,6,0.11,male,,3-6 year,,
130,0,1,7,0,0,0,1,0,1,5,1,0,1,3,4,1,4,16,1,6,0.654,male,,11-14 year,,
131,0,1,5,0,0,0,1,0,5,5,2,1,0,1,3,1,3,22,1,5,0.151,male,,8-11 year,,
132,0,1,5,0,0,0,1,0,5,5,0,1,1,1,4,1,1,11,0,8,0.907,female,,3-6 year,,
133,0,4,6,0,1,0,1,0,5,4,0,0,1,1,3,0,1,24,1,4,0.421,male,,3-6 year,,
134,0,2,1,0,0,1,1,0,1,2,0,1,1,3,3,1,4,3,1,9,0.212,male,,11-14 year,,
135,0,1,4,1,0,0,1,0,4,1,0,1,1,2,3,0,4,14,1,7,0.866,male,,11-14 year,,
136,0,3,1,0,0,1,1,1,5,4,1,0,1,4,3,1,3,10,1,7,0.562,male,,8-11 year,,
137,0,1,3,0,0,0,1,0,3,2,2,1,1,3,3,0,1,29,0,5,0.312,female,,3-6 year,,
138,0,3,7,1,0,0,0,0,2,0,1,0,1,1,3,0,5,1,0,4,0.115,female,,14-18 year,,
139,1,2,3,0,0,0,0,0,3,3,0,0,0,3,4,0,5,25,0,5,0.382,female,,14-18 year,,
140,0,3,5,0,0,0,1,0,0,2,1,0,1,2,2,1,4,13,1,7,0.801,male,,11-14 year,,
141,0,2,5,0,0,0,0,0,4,2,1,0,1,1,4,0,4,32,0,4,0.687,female,,11-14 year,,
142,0,3,7,1,1,1,1,0,0,2,1,1,0,3,4,1,1,12,1,10,0.481,male,,3-6 year,,
143,0,2,5,0,0,0,1,0,3,4,0,0,1,4,2,1,1,32,1,6,0.124,male,,3-6 year,,
144,0,2,5,1,0,0,0,0,3,0,1,1,1,3,1,1,1,19,1,8,0.152,male,,3-6 year,,
145,0,3,3,1,0,0,0,0,3,2,0,0,0,3,3,0,2,17,0,4,0.804,female,,6-8 year,,
146,0,1,6,0,1,0,1,0,3,1,0,0,1,1,4,1,5,6,1,7,0.39,male,,14-18 year,,
147,0,4,2,0,0,1,0,0,5,5,2,1,1,2,3,1,3,28,0,5,0.897,female,,8-11 year,,
148,0,4,6,0,0,0,1,0,0,3,2,0,1,1,2,1,4,15,1,4,0.621,male,,11-14 year,,
149,0,1,7,0,1,1,0,0,3,5,0,0,1,4,3,1,2,24,0,6,0.331,female,,6-8 year,,
150,1,1,6,0,0,0,1,0,1,4,1,0,1,2,3,0,2,25,0,5,0.632,female,,6-8 year,,
151,0,1,1,0,0,0,1,0,3,5,0,1,1,2,1,1,1,4,0,8,0.845,female,,3-6 year,,
152,0,3,2,0,0,1,1,0,3,3,2,1,1,1,2,1,4,11,1,6,0.86,male,,11-14 year,,
153,0,1,4,0,0,0,0,0,4,5,0,0,1,4,1,1,3,21,0,4,0.24,female,,8-11 year,,
154,0,4,3,1,0,0,1,0,3,2,0,0,1,4,3,1,3,33,0,5,0.44,female,,8-11 year,,
155,0,3,3,1,0,0,0,0,3,0,1,1,1,4,4,1,3,22,1,7,0.951,male,,8-11 year,,
156,0,2,7,0,1,0,1,0,4,3,0,0,1,1,1,1,4,2,0,6,0.774,female,,11-14 year,,
157,1,2,4,0,0,0,1,1,0,3,0,1,1,1,3,0,4,20,1,8,0.691,male,,11-14 year,,
158,0,2,7,1,0,0,1,0,2,3,2,0,1,3,2,1,3,19,0,6,0.24,female,,8-11 year,,
