,Unnamed: 0.1,Unnamed: 0,Index,orphan,social_category,minority_group,bpl_beneficiary,ews_group,cwsn,mother's_occupation,father's_occupation,mother's_qualification,father's_qualification,family_annual_income,debt,mental_issues,results_in_previous_year_type,status_in_previous_year,dropout_student,age_group,district,gender,label,Dropped,dropped
0,0,0,0,0,3,4,0,0,1,1,0,3,0,1,1,0,3,3,1,4,12,1,7,0,1
1,1,1,1,0,2,1,1,0,0,0,1,5,2,2,0,1,2,1,0,3,18,0,6,0,1
2,2,2,2,0,3,1,0,0,0,0,0,5,5,1,1,1,2,3,0,1,32,0,5,0,1
3,3,3,3,0,1,6,0,0,1,0,0,3,2,2,0,0,1,4,1,5,3,1,4,0,1
4,4,4,4,0,1,2,0,0,1,1,0,3,1,2,0,1,3,3,0,4,13,1,5,0,1
5,5,5,5,0,2,1,0,0,0,1,0,0,4,0,1,1,2,4,0,4,3,1,9,1,0
6,6,6,6,0,1,4,0,0,0,0,0,4,3,2,0,1,1,2,1,5,9,0,3,0,1
7,7,7,7,0,3,7,1,0,0,1,1,2,2,2,1,0,3,3,0,1,1,1,6,0,1
8,8,8,8,1,2,4,0,0,0,0,1,1,4,1,1,1,2,3,1,2,7,1,7,0,1
9,9,9,9,0,1,6,0,0,1,0,0,4,5,2,1,1,3,3,1,5,17,1,6,0,1
10,10,10,10,0,4,2,0,0,0,0,1,2,2,1,0,1,2,4,0,5,15,1,4,0,1
11,11,11,11,0,2,6,0,0,0,1,0,5,2,1,0,1,3,2,1,5,5,0,5,0,1
12,12,12,12,1,3,2,0,0,0,1,1,2,1,1,1,1,1,1,1,5,25,1,7,0,1
13,13,13,13,1,4,1,0,0,0,1,0,0,5,0,1,1,4,4,1,1,14,1,9,1,0
14,14,14,14,1,4,7,0,1,0,1,0,2,3,0,0,1,2,3,0,2,21,0,6,0,1
15,15,15,15,1,1,7,0,1,0,1,0,0,4,2,0,1,3,4,0,1,26,1,8,1,0
16,16,16,16,0,2,7,1,0,1,1,0,2,1,2,1,0,3,4,1,3,31,1,8,1,0
17,17,17,17,0,4,5,1,0,0,1,0,4,2,0,1,0,3,1,1,2,14,0,7,0,1
18,18,18,18,0,4,4,1,0,0,1,0,0,2,0,0,1,1,3,0,2,8,1,5,0,1
19,19,19,19,0,4,3,0,1,0,0,0,5,3,0,1,1,1,2,1,5,25,1,5,0,1
20,20,20,20,0,4,4,0,0,0,1,0,5,0,0,0,1,1,3,1,2,30,0,5,0,1
21,21,21,21,1,3,7,0,0,0,1,0,2,2,2,0,1,2,3,1,1,29,0,6,0,1
22,22,22,22,0,2,1,1,0,1,0,0,1,0,0,1,0,3,3,1,5,17,1,9,1,0
23,23,23,23,0,1,5,0,0,0,1,0,1,2,2,0,0,4,1,0,4,17,0,3,0,1
24,24,24,24,0,2,3,1,0,0,0,0,2,2,2,0,1,2,3,1,2,28,0,5,0,1
25,25,25,25,0,2,2,0,0,1,0,0,1,3,0,0,1,4,2,1,4,20,1,5,0,1
26,26,26,26,1,3,6,1,0,0,0,0,1,4,2,1,1,2,1,1,3,20,1,7,0,1
27,27,27,27,0,2,1,0,0,0,1,0,4,0,2,1,1,4,4,1,5,10,0,8,1,0
28,28,28,28,0,3,1,1,0,1,1,0,0,1,0,1,1,4,4,1,3,17,0,11,1,0
29,29,29,29,0,2,5,0,0,0,1,1,0,1,1,1,1,1,2,1,1,24,1,8,1,0
30,30,30,30,0,2,1,0,0,0,1,0,1,5,0,1,1,3,4,1,4,2,1,9,1,0
31,31,31,31,0,2,4,0,0,0,0,1,1,1,0,1,1,4,2,1,2,22,1,6,0,1
