,orphan,social_category,minority_group,bpl_beneficiary,ews_group,cwsn,mother's_occupation,father's_occupation,mother's_qualification,father's_qualification,family_annual_income,debt,mental_issues,results_in_previous_year_type,status_in_previous_year,dropout_student,age_group,district,gender,lable (y),prince_o
0,0,3,4,0,0,1,1,0,3,0,1,1,0,3,3,1,4,12,1,7,
1,0,2,1,1,0,0,0,1,5,2,2,0,1,2,1,0,3,18,0,6,
2,0,3,1,0,0,0,0,0,5,5,1,1,1,2,3,0,1,32,0,5,
3,0,1,6,0,0,1,0,0,3,2,2,0,0,1,4,1,5,3,1,4,
4,0,1,2,0,0,1,1,0,3,1,2,0,1,3,3,0,4,13,1,5,
5,0,2,1,0,0,0,1,0,0,4,0,1,1,2,4,0,4,3,1,9,
6,0,1,4,0,0,0,0,0,4,3,2,0,1,1,2,1,5,9,0,3,
7,0,3,7,1,0,0,1,1,2,2,2,1,0,3,3,0,1,1,1,6,
8,1,2,4,0,0,0,0,1,1,4,1,1,1,2,3,1,2,7,1,7,
9,0,1,6,0,0,1,0,0,4,5,2,1,1,3,3,1,5,17,1,6,
10,0,4,2,0,0,0,0,1,2,2,1,0,1,2,4,0,5,15,1,4,
11,0,2,6,0,0,0,1,0,5,2,1,0,1,3,2,1,5,5,0,5,
12,1,3,2,0,0,0,1,1,2,1,1,1,1,1,1,1,5,25,1,7,
13,1,4,1,0,0,0,1,0,0,5,0,1,1,4,4,1,1,14,1,9,
14,1,4,7,0,1,0,1,0,2,3,0,0,1,2,3,0,2,21,0,6,
15,1,1,7,0,1,0,1,0,0,4,2,0,1,3,4,0,1,26,1,8,
16,0,2,7,1,0,1,1,0,2,1,2,1,0,3,4,1,3,31,1,8,
17,0,4,5,1,0,0,1,0,4,2,0,1,0,3,1,1,2,14,0,7,
18,0,4,4,1,0,0,1,0,0,2,0,0,1,1,3,0,2,8,1,5,
19,0,4,3,0,1,0,0,0,5,3,0,1,1,1,2,1,5,25,1,5,
20,0,4,4,0,0,0,1,0,5,0,0,0,1,1,3,1,2,30,0,5,
21,1,3,7,0,0,0,1,0,2,2,2,0,1,2,3,1,1,29,0,6,
22,0,2,1,1,0,1,0,0,1,0,0,1,0,3,3,1,5,17,1,9,
23,0,1,5,0,0,0,1,0,1,2,2,0,0,4,1,0,4,17,0,3,
24,0,2,3,1,0,0,0,0,2,2,2,0,1,2,3,1,2,28,0,5,
25,0,2,2,0,0,1,0,0,1,3,0,0,1,4,2,1,4,20,1,5,
26,1,3,6,1,0,0,0,0,1,4,2,1,1,2,1,1,3,20,1,7,
27,0,2,1,0,0,0,1,0,4,0,2,1,1,4,4,1,5,10,0,8,
28,0,3,1,1,0,1,1,0,0,1,0,1,1,4,4,1,3,17,0,11,
29,0,2,5,0,0,0,1,1,0,1,1,1,1,1,2,1,1,24,1,8,
30,0,2,1,0,0,0,1,0,1,5,0,1,1,3,4,1,4,2,1,9,
31,0,2,4,0,0,0,0,1,1,1,0,1,1,4,2,1,2,22,1,6,
32,1,2,2,0,0,0,1,0,3,0,2,1,1,4,2,1,2,5,0,7,
33,0,2,4,0,0,1,1,0,2,5,1,1,1,2,1,1,1,16,1,7,
34,1,4,5,0,1,0,0,0,4,3,2,0,1,4,4,0,4,14,1,5,
35,0,1,7,1,0,1,1,0,4,4,0,1,1,2,1,1,5,8,1,9,
