,orphan,social_category,minority_group,bpl_beneficiary,ews_group,cwsn,mother's_occupation,father's_occupation,mother's_qualification,father's_qualification,family_annual_income,debt,mental_issues,results_in_previous_year_type,status_in_previous_year,dropout_student,age_group,district,gender,label,dropout
0,0,3,4,0,0,1,1,0,3,0,1,1,0,3,3,1,,,,,
1,0,2,1,1,0,0,0,1,5,2,2,0,1,2,1,0,,,,,
2,0,3,1,0,0,0,0,0,5,5,1,1,1,2,3,0,,,,,
3,0,1,6,0,0,1,0,0,3,2,2,0,0,1,4,1,,,,,
4,0,1,2,0,0,1,1,0,3,1,2,0,1,3,3,0,,,,,
5,0,2,1,0,0,0,1,0,0,4,0,1,1,2,4,0,,,,,
6,0,1,4,0,0,0,0,0,4,3,2,0,1,1,2,1,,,,,
7,0,3,7,1,0,0,1,1,2,2,2,1,0,3,3,0,,,,,
8,1,2,4,0,0,0,0,1,1,4,1,1,1,2,3,1,,,,,
9,0,1,6,0,0,1,0,0,4,5,2,1,1,3,3,1,,,,,
10,0,4,2,0,0,0,0,1,2,2,1,0,1,2,4,0,,,,,
11,0,2,6,0,0,0,1,0,5,2,1,0,1,3,2,1,,,,,
12,1,3,2,0,0,0,1,1,2,1,1,1,1,1,1,1,,,,,
13,1,4,1,0,0,0,1,0,0,5,0,1,1,4,4,1,,,,,
14,1,4,7,0,1,0,1,0,2,3,0,0,1,2,3,0,,,,,
15,1,1,7,0,1,0,1,0,0,4,2,0,1,3,4,0,,,,,
16,0,2,7,1,0,1,1,0,2,1,2,1,0,3,4,1,,,,,
17,0,4,5,1,0,0,1,0,4,2,0,1,0,3,1,1,,,,,
18,0,4,4,1,0,0,1,0,0,2,0,0,1,1,3,0,,,,,
19,0,4,3,0,1,0,0,0,5,3,0,1,1,1,2,1,,,,,
20,0,4,4,0,0,0,1,0,5,0,0,0,1,1,3,1,,,,,
21,1,3,7,0,0,0,1,0,2,2,2,0,1,2,3,1,,,,,
22,0,2,1,1,0,1,0,0,1,0,0,1,0,3,3,1,,,,,
23,0,1,5,0,0,0,1,0,1,2,2,0,0,4,1,0,,,,,
24,0,2,3,1,0,0,0,0,2,2,2,0,1,2,3,1,,,,,
25,0,2,2,0,0,1,0,0,1,3,0,0,1,4,2,1,,,,,
26,1,3,6,1,0,0,0,0,1,4,2,1,1,2,1,1,,,,,
27,0,2,1,0,0,0,1,0,4,0,2,1,1,4,4,1,,,,,
28,0,3,1,1,0,1,1,0,0,1,0,1,1,4,4,1,,,,,
29,0,2,5,0,0,0,1,1,0,1,1,1,1,1,2,1,,,,,
30,0,2,1,0,0,0,1,0,1,5,0,1,1,3,4,1,,,,,
31,0,2,4,0,0,0,0,1,1,1,0,1,1,4,2,1,,,,,
32,1,2,2,0,0,0,1,0,3,0,2,1,1,4,2,1,,,,,
33,0,2,4,0,0,1,1,0,2,5,1,1,1,2,1,1,,,,,
34,1,4,5,0,1,0,0,0,4,3,2,0,1,4,4,0,,,,,
35,0,1,7,1,0,1,1,0,4,4,0,1,1,2,1,1,,,,,
36,0,3,6,0,0,0,1,0,2,5,0,0,1,4,2,1,,,,,
37,1,4,6,0,1,0,0,0,4,5,2,0,1,1,2,1,,,,,
38,0,3,3,0,1,0,1,0,0,5,2,1,1,1,3,0,,,,,
39,0,2,4,0,1,0,1,0,2,3,2,1,0,2,1,0,,,,,
40,0,1,7,0,0,0,1,0,4,5,1,1,0,2,4,1,,,,,
41,0,3,7,0,0,0,0,0,4,1,0,0,1,3,1,1,,,,,
42,0,1,1,0,0,0,0,0,5,1,2,1,1,4,1,1,,,,,
43,0,3,6,0,1,0,1,0,2,3,2,0,1,4,1,1,,,,,
44,0,1,1,0,0,0,1,1,0,0,0,0,1,4,3,1,,,,,
45,0,1,2,0,0,0,1,0,5,1,2,1,1,3,4,0,,,,,
46,0,4,1,0,0,0,0,0,4,5,2,0,0,4,1,1,,,,,
47,0,3,1,0,0,0,1,0,5,3,1,1,1,3,3,1,,,,,
48,0,2,3,1,0,0,1,0,0,2,0,1,1,1,1,1,,,,,
49,0,3,2,0,0,0,1,0,0,2,0,1,1,2,2,1,,,,,
50,1,3,2,0,1,0,0,0,4,3,1,1,1,1,3,1,,,,,
51,0,2,1,1,0,0,0,1,1,2,0,1,0,3,4,1,,,,,
52,0,3,5,1,0,0,1,0,5,5,0,0,0,3,1,1,,,,,
53,0,3,7,0,0,0,1,1,4,4,2,1,1,2,4,1,,,,,
54,0,1,6,0,0,0,0,0,5,1,0,1,1,1,1,1,,,,,
55,0,2,5,0,0,0,0,0,1,3,0,0,1,1,1,1,,,,,
56,0,3,4,0,1,1,1,0,1,0,1,1,1,2,1,1,,,,,
57,0,4,2,0,0,0,1,0,3,4,2,1,0,2,4,1,,,,,
58,0,3,1,0,0,1,1,0,0,1,2,1,1,1,4,1,,,,,
59,1,4,1,0,0,0,0,0,2,5,2,1,1,4,1,1,,,,,
60,0,2,6,0,0,0,0,0,3,5,2,1,0,1,4,1,,,,,
61,0,2,3,1,0,1,0,0,1,3,1,0,0,4,2,1,,,,,
62,0,3,7,0,0,1,1,0,0,2,2,1,1,3,4,1,,,,,
63,0,1,7,1,0,0,1,0,5,5,2,0,0,2,2,0,,,,,
