,Unnamed: 0,orphan,social_category,minority_group,bpl_beneficiary,ews_group,cwsn,mother's_occupation,father's_occupation,mother's_qualification,father's_qualification,family_annual_income,debt,mental_issues,results_in_previous_year_type,status_in_previous_year,dropout_student,age_group,district,gender,label,dropout
0,0,0,3,4,0,0,1,1,0,3,0,1,1,0,3,3,1,5,24,0,7.0,0.4375
1,1,0,2,1,1,0,0,0,1,5,2,2,0,1,2,1,0,2,17,0,6.0,0.375
2,2,0,3,1,0,0,0,0,0,5,5,1,1,1,2,3,0,5,11,1,5.0,0.3125
3,3,0,1,6,0,0,1,0,0,3,2,2,0,0,1,4,1,1,29,0,4.0,0.25
4,4,0,1,2,0,0,1,1,0,3,1,2,0,1,3,3,0,4,7,0,5.0,0.3125
5,5,0,2,1,0,0,0,1,0,0,4,0,1,1,2,4,0,5,8,0,9.0,0.5625
6,6,0,1,4,0,0,0,0,0,4,3,2,0,1,1,2,1,5,6,1,3.0,0.1875
7,7,0,3,7,1,0,0,1,1,2,2,2,1,0,3,3,0,2,32,0,6.0,0.375
8,8,1,2,4,0,0,0,0,1,1,4,1,1,1,2,3,1,2,12,1,7.0,0.4375
9,9,0,1,6,0,0,1,0,0,4,5,2,1,1,3,3,1,3,6,1,6.0,0.375
10,10,0,4,2,0,0,0,0,1,2,2,1,0,1,2,4,0,5,26,1,4.0,0.25
11,11,0,2,6,0,0,0,1,0,5,2,1,0,1,3,2,1,4,28,0,5.0,0.3125
12,12,1,3,2,0,0,0,1,1,2,1,1,1,1,1,1,1,2,19,1,7.0,0.4375
13,13,1,4,1,0,0,0,1,0,0,5,0,1,1,4,4,1,1,17,0,9.0,0.5625
14,14,1,4,7,0,1,0,1,0,2,3,0,0,1,2,3,0,1,19,1,6.0,0.375
15,15,1,1,7,0,1,0,1,0,0,4,2,0,1,3,4,0,3,29,0,8.0,0.5
16,16,0,2,7,1,0,1,1,0,2,1,2,1,0,3,4,1,5,15,1,8.0,0.5
17,17,0,4,5,1,0,0,1,0,4,2,0,1,0,3,1,1,4,25,1,7.0,0.4375
18,18,0,4,4,1,0,0,1,0,0,2,0,0,1,1,3,0,1,26,0,5.0,0.3125
19,19,0,4,3,0,1,0,0,0,5,3,0,1,1,1,2,1,2,22,1,5.0,0.3125
20,20,0,4,4,0,0,0,1,0,5,0,0,0,1,1,3,1,2,3,0,5.0,0.3125
21,21,1,3,7,0,0,0,1,0,2,2,2,0,1,2,3,1,5,23,0,6.0,0.375
22,22,0,2,1,1,0,1,0,0,1,0,0,1,0,3,3,1,1,19,1,9.0,0.5625
23,23,0,1,5,0,0,0,1,0,1,2,2,0,0,4,1,0,4,15,0,3.0,0.1875
24,24,0,2,3,1,0,0,0,0,2,2,2,0,1,2,3,1,4,20,0,5.0,0.3125
25,25,0,2,2,0,0,1,0,0,1,3,0,0,1,4,2,1,2,9,0,5.0,0.3125
26,26,1,3,6,1,0,0,0,0,1,4,2,1,1,2,1,1,1,24,1,7.0,0.4375
27,27,0,2,1,0,0,0,1,0,4,0,2,1,1,4,4,1,5,18,0,8.0,0.5
28,28,0,3,1,1,0,1,1,0,0,1,0,1,1,4,4,1,3,11,0,11.0,0.6875
29,29,0,2,5,0,0,0,1,1,0,1,1,1,1,1,2,1,4,6,0,8.0,0.5
30,30,0,2,1,0,0,0,1,0,1,5,0,1,1,3,4,1,3,5,0,9.0,0.5625
31,31,0,2,4,0,0,0,0,1,1,1,0,1,1,4,2,1,1,18,0,6.0,0.375
32,32,1,2,2,0,0,0,1,0,3,0,2,1,1,4,2,1,4,15,1,7.0,0.4375
33,33,0,2,4,0,0,1,1,0,2,5,1,1,1,2,1,1,3,19,0,7.0,0.4375
34,34,1,4,5,0,1,0,0,0,4,3,2,0,1,4,4,0,3,9,0,5.0,0.3125
35,35,0,1,7,1,0,1,1,0,4,4,0,1,1,2,1,1,4,11,1,9.0,0.5625
36,36,0,3,6,0,0,0,1,0,2,5,0,0,1,4,2,1,3,13,0,5.0,0.3125
37,37,1,4,6,0,1,0,0,0,4,5,2,0,1,1,2,1,4,14,1,4.0,0.25
38,38,0,3,3,0,1,0,1,0,0,5,2,1,1,1,3,0,2,31,0,6.0,0.375
39,39,0,2,4,0,1,0,1,0,2,3,2,1,0,2,1,0,5,26,0,5.0,0.3125
40,40,0,1,7,0,0,0,1,0,4,5,1,1,0,2,4,1,4,8,0,6.0,0.375
41,41,0,3,7,0,0,0,0,0,4,1,0,0,1,3,1,1,5,14,0,5.0,0.3125
