,Gender,Age,Orphan,state,PinCode,mother_tongue,social_category,minority_group,bpl_beneficiary,ews_group,cwsn,pwd,out_of_school_child,dropped_continued,mother's_qualification,father's_qualification,mother's_occupation,father's_occupation,debt,family_annual_income,no_of_children,academic_stream,status_in_previous_year,appreared_previous_exam,results_in_previous_year_type,mental_issues,drug_addiction ,label
0,0,19,0,30,134754,0,1,3,0,1,0,1,1,0,1,0,1,1,0,1,3,1,3,0,4,0,0,5
1,0,21,0,2,999478,0,4,2,0,0,0,1,0,0,4,4,1,1,1,2,2,4,4,1,3,1,0,6
2,1,16,0,33,600506,1,4,4,0,0,1,1,0,0,0,1,1,1,0,2,3,1,5,0,2,0,1,5
3,0,14,0,31,827605,1,2,1,0,0,1,0,0,1,5,5,0,1,0,0,3,5,4,0,3,1,0,8
4,0,21,1,32,318130,1,4,7,0,0,0,1,1,0,1,4,1,0,0,1,2,1,5,1,2,1,1,3
5,1,15,0,23,781663,1,4,5,1,0,1,0,0,0,2,1,0,0,1,0,2,1,2,0,4,1,1,6
6,0,17,0,15,286074,0,3,1,1,0,1,1,0,1,3,3,1,1,0,2,3,5,5,0,2,0,1,7
7,0,14,0,13,359245,1,1,1,0,1,0,0,1,1,4,0,0,1,1,0,3,4,4,0,3,0,0,9
8,0,16,0,1,282044,1,4,2,1,1,1,1,1,1,1,1,1,1,1,2,3,4,2,1,2,0,1,7
9,0,17,0,13,950116,1,1,1,1,0,1,0,1,1,2,4,0,1,0,0,2,2,4,0,1,1,0,8
10,0,20,0,18,359732,0,2,7,0,1,1,1,0,1,4,0,1,0,1,0,3,4,1,0,1,0,0,7
11,1,20,1,30,133074,1,3,5,0,1,1,0,0,1,3,2,0,1,1,0,3,4,1,0,1,0,0,7
12,0,16,0,15,159101,1,3,5,1,1,0,1,0,1,3,1,1,1,1,2,2,3,1,1,3,0,1,8
13,0,20,0,27,752973,1,4,4,1,1,0,0,0,0,2,5,1,1,1,0,2,5,3,0,4,0,0,6
14,1,16,0,11,316618,1,4,4,1,0,1,1,1,0,3,1,0,0,1,0,2,5,1,0,3,1,1,6
15,1,19,0,3,635199,0,3,5,0,0,1,0,0,1,0,5,0,1,1,0,2,1,5,0,3,0,1,8
16,0,21,0,9,995210,0,3,1,1,1,0,0,1,0,5,0,1,0,0,1,3,3,5,1,1,0,0,6
17,1,17,0,19,494174,0,3,1,1,1,1,0,0,1,5,4,0,1,1,2,3,3,1,0,3,1,1,9
18,0,17,1,17,903157,0,1,7,1,0,0,1,1,0,1,0,1,0,0,2,3,5,1,0,3,1,1,6
19,0,17,0,4,437605,1,1,7,0,1,0,0,0,0,0,3,1,1,0,0,2,3,5,1,1,0,0,6
